Component;Path;Div Count;Ghosts Detected;Action Priority
MedicationConfirm;pages/features/MedicationConfirm.jsx;7;divSoup (1x) | hardcodedColors (3x);Mitja
AlmaPage;pages/features/anima-del-mas/AlmaPage.jsx;7;bootstrapLegacy (2x) | divSoup (1x);Mitja
AppLayout;app/AppLayout.jsx;6;bootstrapLegacy (2x) | hardcodedColors (13x) | dangerousScroll (2x);Mitja
AppSkeleton;app/AppSkeleton.jsx;6;divSoup (1x);Mitja
ClauerVisual;components/ClauerVisual.jsx;6;Net;Baixa
DesignSystemPage;components/design-system/DesignSystemPage.jsx;6;bootstrapLegacy (1x);Mitja
SearchNavBar;components/patterns/SearchNavBar.jsx;6;bootstrapLegacy (1x) | divSoup (1x) | dangerousScroll (1x);Mitja
LanguageSelector;components/ui/LanguageSelector.jsx;6;divSoup (1x) | dangerousScroll (1x);Mitja
DAFOPage;pages/admin/DAFOPage.jsx;6;Net;Baixa
Notes;pages/features/Notes.jsx;6;dangerousScroll (2x);Mitja
VitalSecurity;pages/features/VitalSecurity.jsx;6;bootstrapLegacy (1x) | divSoup (2x) | dangerousScroll (1x);Mitja
AppShell;AppShell.jsx;5;dangerousScroll (2x);Alta
Mercat;components/Mercat.jsx;5;divSoup (2x);Alta
PwaUpdater;components/PwaUpdater.jsx;5;divSoup (1x);Alta
GlobalErrorBoundary;components/core/GlobalErrorBoundary.jsx;5;bootstrapLegacy (1x) | divSoup (2x) | hardcodedColors (4x) | dangerousScroll (2x);Alta
Buttons;components/design-system/sections/Buttons.jsx;5;Net;Baixa
LocalFirstGate;components/gates/LocalFirstGate.jsx;5;divSoup (1x) | hardcodedColors (5x) | dangerousScroll (3x);Alta
FloatingIndex;components/ui/FloatingIndex.jsx;5;bootstrapLegacy (1x);Alta
StatusLoader;components/ui/StatusLoader.jsx;5;divSoup (2x);Alta
VirtualizedContainer;components/ui/trellat/VirtualizedContainer.jsx;5;divSoup (1x);Alta
UniversalShell;components/universal/UniversalShell.jsx;5;ghostVariables (10x) | bootstrapLegacy (2x) | dangerousScroll (1x);Alta
ProfileView;pages/community/ProfileView.jsx;5;hardcodedColors (3x) | dangerousScroll (4x);Alta
AppRouter;AppRouter.jsx;4;Net;Baixa
SafeShell;components/core/SafeShell.jsx;4;divSoup (1x);Alta
ChatEmptyState;components/features/ChatEmptyState.jsx;4;divSoup (1x) | hardcodedColors (1x);Alta
ContextualMenu;components/ui/ContextualMenu.jsx;4;divSoup (1x) | hardcodedColors (4x) | dangerousScroll (1x);Alta
VoiceRecorder;components/ui/VoiceRecorder.jsx;4;divSoup (1x) | hardcodedColors (2x) | dangerousScroll (1x);Alta
Masia;app/Masia.jsx;3;Net;Baixa
ErrorBoundary;components/core/ErrorBoundary.jsx;3;bootstrapLegacy (1x) | divSoup (1x);Alta
VirtualCardList;components/feed/VirtualCardList.jsx;3;Net;Baixa
AuthGate;components/gates/AuthGate.jsx;3;hardcodedColors (1x) | dangerousScroll (2x);Alta
ActionBar;components/ui/ActionBar.jsx;3;divSoup (1x) | hardcodedColors (1x);Alta
TargetaPoble;components/ui/TargetaPoble.jsx;3;bootstrapLegacy (3x) | hardcodedColors (4x) | dangerousScroll (1x);Alta
ToastProvider;components/ui/ToastProvider.jsx;3;divSoup (1x);Alta
UniversalCard.Body;components/ui/universal-card/UniversalCard.Body.jsx;3;hardcodedColors (1x);Alta
AgentDirectory;pages/community/AgentDirectory.jsx;3;dangerousScroll (1x);Alta
Translations;pages/features/Translations.jsx;3;bootstrapLegacy (1x) | hardcodedColors (2x);Alta
AppLayout.test;__tests__/accessibility/AppLayout.test.jsx;2;Net;Baixa
App;app/App.jsx;2;divSoup (1x) | hardcodedColors (1x);Alta
NavigationRail;components/NavigationRail.jsx;2;Net;Baixa
VersionGatekeeper;components/core/VersionGatekeeper.jsx;2;Net;Baixa
PwaUpdater;components/pwa/PwaUpdater.jsx;2;Net;Baixa
ProgressiveHydrator;components/shell/ProgressiveHydrator.jsx;2;Net;Baixa
ConnectButton;components/ui/ConnectButton.jsx;2;hardcodedColors (1x) | dangerousScroll (1x);Alta
